,Unnamed: 0,ID,QuestType,verb,WhichQuestion,WhichAnswer,Group,goal,RT,N,ImageName,order,study,Value,logical,pragmatic,global,local
122,251,17233,14,say,NoMod,MS,B,none,5160.5,2,six1.png,,qn,Agree,0.6666666666666666,0.3333333333333333,0.5,0.5
123,252,17233,14,say,NoMod,MS,B,none,5160.5,2,six2.png,,qn,Agree,0.6666666666666666,0.3333333333333333,0.5,0.5
124,253,17233,15,say,NoMod,MA,B,none,12594.5,2,four2.png,,qn,Agree,0.6666666666666666,0.3333333333333333,0.5,0.5
125,254,17233,15,say,NoMod,MA,B,none,12594.5,2,four1.png,,qn,Agree,0.6666666666666666,0.3333333333333333,0.5,0.5
126,255,17233,16,say,NoMod,MF,B,none,6928.5,2,red2.png,,qn,Disagree,0.6666666666666666,0.3333333333333333,0.5,0.5
127,256,17233,16,say,NoMod,MF,B,none,6928.5,2,red1.png,,qn,Disagree,0.6666666666666666,0.3333333333333333,0.5,0.5
128,257,17236,1,know,Mod,MO,L,none,7789.0,2,ace2.png,,qn,Agree,0.16666666666666666,0.8333333333333334,0.5,0.5
129,258,17236,1,know,Mod,MO,L,none,7789.0,2,ace1.png,,qn,Disagree,0.16666666666666666,0.8333333333333334,0.5,0.5
130,259,17236,2,know,Mod,MS,L,none,8889.5,2,ten2.png,,qn,Agree,0.16666666666666666,0.8333333333333334,0.5,0.5
131,260,17236,2,know,Mod,MS,L,none,8889.5,2,ten1.png,,qn,Disagree,0.16666666666666666,0.8333333333333334,0.5,0.5
132,261,17236,3,know,Mod,MA,L,none,6891.0,2,eight1.png,,qn,Agree,0.16666666666666666,0.8333333333333334,0.5,0.5
133,262,17236,3,know,Mod,MA,L,none,6891.0,2,eight2.png,,qn,Agree,0.16666666666666666,0.8333333333333334,0.5,0.5
134,263,17236,4,know,Mod,MF,L,none,5810.0,2,six1.png,,qn,Disagree,0.16666666666666666,0.8333333333333334,0.5,0.5
135,264,17236,4,know,Mod,MF,L,none,5810.0,2,six2.png,,qn,Disagree,0.16666666666666666,0.8333333333333334,0.5,0.5
136,265,17236,5,say,Mod,MO,L,none,3914.5,2,four2.png,,qn,Agree,0.16666666666666666,0.8333333333333334,0.5,0.5
137,266,17236,5,say,Mod,MO,L,none,3914.5,2,four1.png,,qn,Agree,0.16666666666666666,0.8333333333333334,0.5,0.5
138,267,17236,6,say,Mod,MS,L,none,4252.5,2,red2.png,,qn,Agree,0.16666666666666666,0.8333333333333334,0.5,0.5
139,268,17236,6,say,Mod,MS,L,none,4252.5,2,red1.png,,qn,Agree,0.16666666666666666,0.8333333333333334,0.5,0.5
140,269,17236,7,say,Mod,MA,L,none,7503.5,2,black1.png,,qn,Agree,0.16666666666666666,0.8333333333333334,0.5,0.5
141,270,17236,7,say,Mod,MA,L,none,7503.5,2,black2.png,,qn,Agree,0.16666666666666666,0.8333333333333334,0.5,0.5
