"","ID","QuestType","verb","WhichQuestion","WhichAnswer","Group","goal","RT","N","ImageName","order","study","Value"
"127","16657",16,"say","NoMod","MF","M","none",12277.5,2,"ace1.png",NA,"qn","Disagree"
"128","16657",16,"say","NoMod","MF","M","none",12277.5,2,"ace2.png",NA,"qn","Disagree"
"129","16753",1,"know","Mod","MO","I","none",10684,2,"king2.png",NA,"qn","Disagree"
"130","16753",1,"know","Mod","MO","I","none",10684,2,"king1.png",NA,"qn","Disagree"
"131","16753",2,"know","Mod","MS","I","none",7741.5,2,"face1.png",NA,"qn","Disagree"
"132","16753",2,"know","Mod","MS","I","none",7741.5,2,"face2.png",NA,"qn","Disagree"
"133","16753",3,"know","Mod","MA","I","none",11369.5,2,"number2.png",NA,"qn","Agree"
"134","16753",3,"know","Mod","MA","I","none",11369.5,2,"number1.png",NA,"qn","Agree"
"135","16753",4,"know","Mod","MF","I","none",22591,2,"ace1.png",NA,"qn","Disagree"
"136","16753",4,"know","Mod","MF","I","none",22591,2,"ace2.png",NA,"qn","Agree"
"137","16753",5,"say","Mod","MO","I","none",6812.5,2,"ten1.png",NA,"qn","Agree"
"138","16753",5,"say","Mod","MO","I","none",6812.5,2,"ten2.png",NA,"qn","Disagree"
"139","16753",6,"say","Mod","MS","I","none",8717,2,"eight1.png",NA,"qn","Disagree"
"140","16753",6,"say","Mod","MS","I","none",8717,2,"eight2.png",NA,"qn","Disagree"
"141","16753",7,"say","Mod","MA","I","none",36234.5,2,"six2.png",NA,"qn","Agree"
"142","16753",7,"say","Mod","MA","I","none",36234.5,2,"six1.png",NA,"qn","Agree"
"143","16753",8,"say","Mod","MF","I","none",6984,2,"four2.png",NA,"qn","Disagree"
"144","16753",8,"say","Mod","MF","I","none",6984,2,"four1.png",NA,"qn","Disagree"
"145","16753",9,"know","NoMod","MO","I","none",8058,2,"red2.png",NA,"qn","Disagree"
"146","16753",9,"know","NoMod","MO","I","none",8058,2,"red1.png",NA,"qn","Disagree"
"147","16753",10,"know","NoMod","MS","I","none",6938.5,2,"black2.png",NA,"qn","Disagree"
"148","16753",10,"know","NoMod","MS","I","none",6938.5,2,"black1.png",NA,"qn","Agree"
"149","16753",11,"know","NoMod","MA","I","none",9905,2,"spade1.png",NA,"qn","Agree"
"150","16753",11,"know","NoMod","MA","I","none",9905,2,"spade2.png",NA,"qn","Agree"
"151","16753",12,"know","NoMod","MF","I","none",7296,2,"club2.png",NA,"qn","Disagree"
"152","16753",12,"know","NoMod","MF","I","none",7296,2,"club1.png",NA,"qn","Disagree"
"153","16753",13,"say","NoMod","MO","I","none",31986.5,2,"diamond2.png",NA,"qn","Agree"
"154","16753",13,"say","NoMod","MO","I","none",31986.5,2,"diamond1.png",NA,"qn","Disagree"
"155","16753",14,"say","NoMod","MS","I","none",13784.5,2,"hearts1.png",NA,"qn","Disagree"
"156","16753",14,"say","NoMod","MS","I","none",13784.5,2,"hearts2.png",NA,"qn","Disagree"
"157","16753",15,"say","NoMod","MA","I","none",10154.5,2,"jack1.png",NA,"qn","Agree"
"158","16753",15,"say","NoMod","MA","I","none",10154.5,2,"jack2.png",NA,"qn","Agree"
"159","16753",16,"say","NoMod","MF","I","none",12874.5,2,"queen1.png",NA,"qn","Disagree"
"160","16753",16,"say","NoMod","MF","I","none",12874.5,2,"queen2.png",NA,"qn","Disagree"
"161","17128",1,"know","Mod","MO","C","none",6982,2,"spade2.png",NA,"qn","Agree"
"162","17128",1,"know","Mod","MO","C","none",6982,2,"spade1.png",NA,"qn","Agree"
"163","17128",2,"know","Mod","MS","C","none",30553.5,2,"club2.png",NA,"qn","Agree"
"164","17128",2,"know","Mod","MS","C","none",30553.5,2,"club1.png",NA,"qn","Agree"
"165","17128",3,"know","Mod","MA","C","none",7094.5,2,"diamond1.png",NA,"qn","Agree"
"166","17128",3,"know","Mod","MA","C","none",7094.5,2,"diamond2.png",NA,"qn","Agree"
"167","17128",4,"know","Mod","MF","C","none",5743,2,"hearts1.png",NA,"qn","Disagree"
"168","17128",4,"know","Mod","MF","C","none",5743,2,"hearts2.png",NA,"qn","Disagree"
"169","17128",5,"say","Mod","MO","C","none",6801.5,2,"jack1.png",NA,"qn","Agree"
"170","17128",5,"say","Mod","MO","C","none",6801.5,2,"jack2.png",NA,"qn","Agree"
"171","17128",6,"say","Mod","MS","C","none",6261.5,2,"queen2.png",NA,"qn","Agree"
"172","17128",6,"say","Mod","MS","C","none",6261.5,2,"queen1.png",NA,"qn","Agree"
"173","17128",7,"say","Mod","MA","C","none",6283.5,2,"king2.png",NA,"qn","Agree"
"174","17128",7,"say","Mod","MA","C","none",6283.5,2,"king1.png",NA,"qn","Agree"
"175","17128",8,"say","Mod","MF","C","none",8355.5,2,"face1.png",NA,"qn","Agree"
"176","17128",8,"say","Mod","MF","C","none",8355.5,2,"face2.png",NA,"qn","Agree"
"177","17128",9,"know","NoMod","MO","C","none",6205.5,2,"number2.png",NA,"qn","Agree"
"178","17128",9,"know","NoMod","MO","C","none",6205.5,2,"number1.png",NA,"qn","Agree"
"179","17128",10,"know","NoMod","MS","C","none",8650.5,2,"ace2.png",NA,"qn","Agree"
"180","17128",10,"know","NoMod","MS","C","none",8650.5,2,"ace1.png",NA,"qn","Agree"
"181","17128",11,"know","NoMod","MA","C","none",8287.5,2,"ten1.png",NA,"qn","Agree"
"182","17128",11,"know","NoMod","MA","C","none",8287.5,2,"ten2.png",NA,"qn","Agree"
"183","17128",12,"know","NoMod","MF","C","none",10728.5,2,"eight2.png",NA,"qn","Disagree"
"184","17128",12,"know","NoMod","MF","C","none",10728.5,2,"eight1.png",NA,"qn","Disagree"
"185","17128",13,"say","NoMod","MO","C","none",6855.5,2,"six1.png",NA,"qn","Agree"
"186","17128",13,"say","NoMod","MO","C","none",6855.5,2,"six2.png",NA,"qn","Agree"
"187","17128",14,"say","NoMod","MS","C","none",10551,2,"four1.png",NA,"qn","Agree"
"188","17128",14,"say","NoMod","MS","C","none",10551,2,"four2.png",NA,"qn","Agree"
"189","17128",15,"say","NoMod","MA","C","none",8176.5,2,"red1.png",NA,"qn","Agree"
"190","17128",15,"say","NoMod","MA","C","none",8176.5,2,"red2.png",NA,"qn","Agree"
"191","17128",16,"say","NoMod","MF","C","none",5392.5,2,"black2.png",NA,"qn","Agree"
"192","17128",16,"say","NoMod","MF","C","none",5392.5,2,"black1.png",NA,"qn","Agree"
"193","17134",1,"know","Mod","MO","A","none",5494.5,2,"red2.png",NA,"qn","Disagree"
"194","17134",1,"know","Mod","MO","A","none",5494.5,2,"red1.png",NA,"qn","Disagree"
"195","17134",2,"know","Mod","MS","A","none",8829,2,"black2.png",NA,"qn","Disagree"
"196","17134",2,"know","Mod","MS","A","none",8829,2,"black1.png",NA,"qn","Disagree"
"197","17134",3,"know","Mod","MA","A","none",10288.5,2,"spade2.png",NA,"qn","Agree"
"198","17134",3,"know","Mod","MA","A","none",10288.5,2,"spade1.png",NA,"qn","Agree"
"199","17134",4,"know","Mod","MF","A","none",9317,2,"club1.png",NA,"qn","Disagree"
"200","17134",4,"know","Mod","MF","A","none",9317,2,"club2.png",NA,"qn","Disagree"
"201","17134",5,"say","Mod","MO","A","none",7088,2,"diamond2.png",NA,"qn","Disagree"
"202","17134",5,"say","Mod","MO","A","none",7088,2,"diamond1.png",NA,"qn","Disagree"
"203","17134",6,"say","Mod","MS","A","none",6577.5,2,"hearts2.png",NA,"qn","Disagree"
"204","17134",6,"say","Mod","MS","A","none",6577.5,2,"hearts1.png",NA,"qn","Disagree"
"205","17134",7,"say","Mod","MA","A","none",6928.5,2,"jack2.png",NA,"qn","Agree"
"206","17134",7,"say","Mod","MA","A","none",6928.5,2,"jack1.png",NA,"qn","Agree"
"207","17134",8,"say","Mod","MF","A","none",7504,2,"queen1.png",NA,"qn","Disagree"
"208","17134",8,"say","Mod","MF","A","none",7504,2,"queen2.png",NA,"qn","Disagree"
"209","17134",9,"know","NoMod","MO","A","none",9797.5,2,"king2.png",NA,"qn","Agree"
"210","17134",9,"know","NoMod","MO","A","none",9797.5,2,"king1.png",NA,"qn","Disagree"
"211","17134",10,"know","NoMod","MS","A","none",4849.5,2,"face2.png",NA,"qn","Disagree"
"212","17134",10,"know","NoMod","MS","A","none",4849.5,2,"face1.png",NA,"qn","Disagree"
"213","17134",11,"know","NoMod","MA","A","none",10566.5,2,"number2.png",NA,"qn","Agree"
"214","17134",11,"know","NoMod","MA","A","none",10566.5,2,"number1.png",NA,"qn","Agree"
"215","17134",12,"know","NoMod","MF","A","none",5386.5,2,"ace2.png",NA,"qn","Disagree"
"216","17134",12,"know","NoMod","MF","A","none",5386.5,2,"ace1.png",NA,"qn","Disagree"
"217","17134",13,"say","NoMod","MO","A","none",6516,2,"ten1.png",NA,"qn","Disagree"
"218","17134",13,"say","NoMod","MO","A","none",6516,2,"ten2.png",NA,"qn","Disagree"
"219","17134",14,"say","NoMod","MS","A","none",4366,2,"eight1.png",NA,"qn","Disagree"
"220","17134",14,"say","NoMod","MS","A","none",4366,2,"eight2.png",NA,"qn","Disagree"
"221","17134",15,"say","NoMod","MA","A","none",9281.5,2,"six2.png",NA,"qn","Agree"
"222","17134",15,"say","NoMod","MA","A","none",9281.5,2,"six1.png",NA,"qn","Agree"
"223","17134",16,"say","NoMod","MF","A","none",4671,2,"four1.png",NA,"qn","Agree"
"224","17134",16,"say","NoMod","MF","A","none",4671,2,"four2.png",NA,"qn","Disagree"
"225","17233",1,"know","Mod","MO","B","none",10823.5,2,"black2.png",NA,"qn","Agree"
"226","17233",1,"know","Mod","MO","B","none",10823.5,2,"black1.png",NA,"qn","Agree"
"227","17233",2,"know","Mod","MS","B","none",8038.5,2,"spade1.png",NA,"qn","Agree"
"228","17233",2,"know","Mod","MS","B","none",8038.5,2,"spade2.png",NA,"qn","Agree"
"229","17233",3,"know","Mod","MA","B","none",12312,2,"club2.png",NA,"qn","Agree"
"230","17233",3,"know","Mod","MA","B","none",12312,2,"club1.png",NA,"qn","Agree"
"231","17233",4,"know","Mod","MF","B","none",5894.5,2,"diamond2.png",NA,"qn","Disagree"
"232","17233",4,"know","Mod","MF","B","none",5894.5,2,"diamond1.png",NA,"qn","Disagree"
"233","17233",5,"say","Mod","MO","B","none",7844.5,2,"hearts1.png",NA,"qn","Agree"
"234","17233",5,"say","Mod","MO","B","none",7844.5,2,"hearts2.png",NA,"qn","Agree"
"235","17233",6,"say","Mod","MS","B","none",10549.5,2,"jack1.png",NA,"qn","Agree"
