"","ID","SentType","Token","SentNumber","Group","RT","N","SubStat","Negation","CompTruth","Matrix","order","goal","study","Value","logRT"
"105","165585","T9","bears",9,"B",1528,1,"novice",0,1,"Babies say that",2,"none","cb","Agree",7.33171496972647
"106","165585","T9","bears",9,"B",1528,1,"novice",0,1,"Babies say that",2,"none","cb","Disagree",7.33171496972647
"107","165585","T9","salmon",9,"B",285,1,"novice",0,1,"Babies say that",2,"none","cb","Agree",5.65248918026865
"108","165585","T9","salmon",9,"B",285,1,"novice",0,1,"Babies say that",2,"none","cb","Disagree",5.65248918026865
"109","17128","T1","cobras",4,"A",7367,1,"expert",1,0,"Zoologists don't know that",1,"none","cb","Disagree",8.90476584668281
"110","17128","T1","cobras",4,"A",7367,1,"expert",1,0,"Zoologists don't know that",1,"none","cb","Disagree",8.90476584668281
"111","17128","T1","ticks",4,"A",1555,1,"expert",1,0,"Zoologists don't know that",1,"none","cb","Disagree",7.34923082461333
"112","17128","T1","ticks",4,"A",1555,1,"expert",1,0,"Zoologists don't know that",1,"none","cb","Disagree",7.34923082461333
"113","17128","T2","monkeys",2,"A",2080,1,"expert",0,0,"Zoologists know that",1,"none","cb","Disagree",7.64012317269536
"114","17128","T2","monkeys",2,"A",2080,1,"expert",0,0,"Zoologists know that",1,"none","cb","Disagree",7.64012317269536
"115","17128","T2","tunas",2,"A",1182,1,"expert",0,0,"Zoologists know that",1,"none","cb","Disagree",7.07496319796604
"116","17128","T2","tunas",2,"A",1182,1,"expert",0,0,"Zoologists know that",1,"none","cb","Disagree",7.07496319796604
"117","17128","T3","cows",3,"A",3648,1,"expert",1,1,"Zoologists don't know that",1,"none","cb","Agree",8.20193435119422
"118","17128","T3","cows",3,"A",3648,1,"expert",1,1,"Zoologists don't know that",1,"none","cb","Disagree",8.20193435119422
"119","17128","T3","trouts",3,"A",1470,1,"expert",1,1,"Zoologists don't know that",1,"none","cb","Agree",7.29301767977278
"120","17128","T3","trouts",3,"A",1470,1,"expert",1,1,"Zoologists don't know that",1,"none","cb","Disagree",7.29301767977278
"121","17128","T4","bears",1,"A",834,1,"expert",0,1,"Zoologists know that",1,"none","cb","Agree",6.72623340235875
"122","17128","T4","bears",1,"A",834,1,"expert",0,1,"Zoologists know that",1,"none","cb","Agree",6.72623340235875
"123","17128","T4","salmon",1,"A",822,1,"expert",0,1,"Zoologists know that",1,"none","cb","Agree",6.71174039505618
"124","17128","T4","salmon",1,"A",822,1,"expert",0,1,"Zoologists know that",1,"none","cb","Agree",6.71174039505618
"125","17128","T5","bees",6,"A",2360,1,"novice",1,0,"Babies don't know that",1,"none","cb","Disagree",7.76641689801966
"126","17128","T5","bees",6,"A",2360,1,"novice",1,0,"Babies don't know that",1,"none","cb","Disagree",7.76641689801966
"127","17128","T5","pythons",6,"A",7174,1,"novice",1,0,"Babies don't know that",1,"none","cb","Disagree",8.87821865809223
"128","17128","T5","pythons",6,"A",7174,1,"novice",1,0,"Babies don't know that",1,"none","cb","Disagree",8.87821865809223
"129","17128","T6","beetles",5,"A",3253,1,"novice",1,1,"Babies don't know that",1,"none","cb","Agree",8.08733292647335
"130","17128","T6","beetles",5,"A",3253,1,"novice",1,1,"Babies don't know that",1,"none","cb","Agree",8.08733292647335
"131","17128","T6","tortoises",5,"A",1358,1,"novice",1,1,"Babies don't know that",1,"none","cb","Agree",7.21376830811864
"132","17128","T6","tortoises",5,"A",1358,1,"novice",1,1,"Babies don't know that",1,"none","cb","Agree",7.21376830811864
"133","17128","T7","parrots",7,"A",3896,1,"expert",1,0,"Zoologists don't say that",1,"none","cb","Agree",8.26770566476243
"134","17128","T7","parrots",7,"A",3896,1,"expert",1,0,"Zoologists don't say that",1,"none","cb","Disagree",8.26770566476243
"135","17128","T7","watermellon",7,"A",2699,1,"expert",1,0,"Zoologists don't say that",1,"none","cb","Agree",7.900636613018
"136","17128","T7","watermellon",7,"A",2699,1,"expert",1,0,"Zoologists don't say that",1,"none","cb","Disagree",7.900636613018
"137","17128","T8","kiwis",8,"A",59951,1,"novice",0,0,"Babies say that",1,"none","cb","Disagree",11.0012828408837
"138","17128","T8","kiwis",8,"A",59951,1,"novice",0,0,"Babies say that",1,"none","cb","Disagree",11.0012828408837
"139","17128","T8","pigeons",8,"A",1137,1,"novice",0,0,"Babies say that",1,"none","cb","Disagree",7.03614849375054
"140","17128","T8","pigeons",8,"A",1137,1,"novice",0,0,"Babies say that",1,"none","cb","Disagree",7.03614849375054
"141","17128","T9","oranges",9,"A",5673,1,"novice",0,1,"Babies say that",1,"none","cb","Agree",8.64347335732657
"142","17128","T9","oranges",9,"A",5673,1,"novice",0,1,"Babies say that",1,"none","cb","Agree",8.64347335732657
"143","17128","T9","vultures",9,"A",3416,1,"novice",0,1,"Babies say that",1,"none","cb","Agree",8.13622555490846
"144","17128","T9","vultures",9,"A",3416,1,"novice",0,1,"Babies say that",1,"none","cb","Agree",8.13622555490846
"145","17134","T1","cows",4,"I",5892,1,"expert",1,0,"Zoologists don't know that",2,"none","cb","Agree",8.68135077758252
"146","17134","T1","cows",4,"I",5892,1,"expert",1,0,"Zoologists don't know that",2,"none","cb","Agree",8.68135077758252
"147","17134","T1","trouts",4,"I",4195,1,"expert",1,0,"Zoologists don't know that",2,"none","cb","Agree",8.34164861890131
"148","17134","T1","trouts",4,"I",4195,1,"expert",1,0,"Zoologists don't know that",2,"none","cb","Agree",8.34164861890131
