"","Time.results.were.received","MD5.hash.of.participant.s.IP.address","Controller.name","Item.number","Element.number","Type","Group.Ibex","PennElementType","PennElementName","Parameter","Value","EventTime","ID","Study","SentNumber","Quantifier","Matrix","WhichCategory","Subject","Predicate","SentType","Verb","Embedded","Token","MatchingCategory","MismatchingCategory","Group","Comments","study","order","goal"
"73",1589284533,"4812dc1d9b9a460038e3d2d89e7b32a0","PennController",52,1,"test","NULL","PennController","53","_Trial_","End",1589284415506,"A1YILFU07P6DND","BN","18","all","Zoologists say that","Matching","Category","Token","T5","say",1,"herring","fishes","birds","M","NULL","bn","1","MA"
"74",1589284533,"4812dc1d9b9a460038e3d2d89e7b32a0","DashedSentence",25,0,"test","NULL"," some peaches are insects","","","",NA,"","","","","","","","","","",NA,"","","","","","bn","1","MA"
"75",1589284533,"4812dc1d9b9a460038e3d2d89e7b32a0","PennController",25,1,"test","NULL","PennController","26","_Trial_","Start",1589284417191,"A1YILFU07P6DND","BN","4","some","","Mismatching","Token","Category","T3","none",0,"peaches","fruit","insects","M","NULL","bn","1","MA"
"76",1589284533,"4812dc1d9b9a460038e3d2d89e7b32a0","PennController",25,1,"test","NULL","Selector","unnamed-Selector","Selection","Disagree",1589284417716,"A1YILFU07P6DND","BN","4","some","","Mismatching","Token","Category","T3","none",0,"peaches","fruit","insects","M","NULL","bn","1","MA"
"77",1589284533,"4812dc1d9b9a460038e3d2d89e7b32a0","PennController",25,1,"test","NULL","PennController","26","_Trial_","End",1589284417720,"A1YILFU07P6DND","BN","4","some","","Mismatching","Token","Category","T3","none",0,"peaches","fruit","insects","M","NULL","bn","1","MA"
"78",1589284533,"4812dc1d9b9a460038e3d2d89e7b32a0","DashedSentence",21,0,"test","NULL","Zoologists know that some bananas are fruit","","","",NA,"","","","","","","","","","",NA,"","","","","","bn","1","MA"
"79",1589284533,"4812dc1d9b9a460038e3d2d89e7b32a0","PennController",21,1,"test","NULL","PennController","22","_Trial_","Start",1589284420117,"A1YILFU07P6DND","BN","2","some","Zoologists know that","Matching","Token","Category","T1","know",1,"bananas","fruit","insects","M","NULL","bn","1","MA"
"80",1589284533,"4812dc1d9b9a460038e3d2d89e7b32a0","PennController",21,1,"test","NULL","Selector","unnamed-Selector","Selection","Agree",1589284420718,"A1YILFU07P6DND","BN","2","some","Zoologists know that","Matching","Token","Category","T1","know",1,"bananas","fruit","insects","M","NULL","bn","1","MA"
"81",1589284533,"4812dc1d9b9a460038e3d2d89e7b32a0","PennController",21,1,"test","NULL","PennController","22","_Trial_","End",1589284420719,"A1YILFU07P6DND","BN","2","some","Zoologists know that","Matching","Token","Category","T1","know",1,"bananas","fruit","insects","M","NULL","bn","1","MA"
"82",1589284533,"4812dc1d9b9a460038e3d2d89e7b32a0","DashedSentence",50,0,"test","NULL","Zoologists know that all fishes are mackerels","","","",NA,"","","","","","","","","","",NA,"","","","","","bn","1","MA"
