,Study,SentNumber,Verb,WhichCategory,Matrix,Subject,Predicate,SentType,Negation,CompTruth,SubStat,Token,MatchingCategory,MismatchingCategory,Group
52,CB,3,know,Matching,Zoologists don't know that,Token,Category,T3,1,1,expert,tunas,fishes,birds,I
53,CB,3,know,Matching,Zoologists don't know that,Token,Category,T3,1,1,expert,monkeys,mammals,fruit,I
54,CB,4,know,Mismatching,Zoologists don't know that,Token,Category,T1,1,0,expert,cobras,reptiles,mammals,A
55,CB,4,know,Mismatching,Zoologists don't know that,Token,Category,T1,1,0,expert,ticks,insects,fishes,A
56,CB,4,know,Mismatching,Zoologists don't know that,Token,Category,T1,1,0,expert,tortoises,reptiles,mammals,B
57,CB,4,know,Mismatching,Zoologists don't know that,Token,Category,T1,1,0,expert,beetles,insects,fishes,B
58,CB,4,know,Mismatching,Zoologists don't know that,Token,Category,T1,1,0,expert,pythons,reptiles,mammals,C
59,CB,4,know,Mismatching,Zoologists don't know that,Token,Category,T1,1,0,expert,bees,insects,fishes,C
60,CB,4,know,Mismatching,Zoologists don't know that,Token,Category,T1,1,0,expert,parrots,birds,reptiles,D
61,CB,4,know,Mismatching,Zoologists don't know that,Token,Category,T1,1,0,expert,watermellon,fruits,insects,D
62,CB,4,know,Mismatching,Zoologists don't know that,Token,Category,T1,1,0,expert,pigeons,birds,reptiles,E
63,CB,4,know,Mismatching,Zoologists don't know that,Token,Category,T1,1,0,expert,kiwis,fruits,insects,E
64,CB,4,know,Mismatching,Zoologists don't know that,Token,Category,T1,1,0,expert,vultures,birds,reptiles,F
65,CB,4,know,Mismatching,Zoologists don't know that,Token,Category,T1,1,0,expert,oranges,fruits,insects,F
66,CB,4,know,Mismatching,Zoologists don't know that,Token,Category,T1,1,0,expert,salmon,fishes,birds,G
67,CB,4,know,Mismatching,Zoologists don't know that,Token,Category,T1,1,0,expert,bears,mammals,fruit,G
68,CB,4,know,Mismatching,Zoologists don't know that,Token,Category,T1,1,0,expert,tunas,fishes,birds,H
69,CB,4,know,Mismatching,Zoologists don't know that,Token,Category,T1,1,0,expert,monkeys,mammals,fruit,H
70,CB,4,know,Mismatching,Zoologists don't know that,Token,Category,T1,1,0,expert,trouts,fishes,birds,I
