,Token,MatchingCategory,MismatchingCategory,SentNumber,Quantifier,Matrix,WhichCategory,Subject,Predicate,Group,SentType,Verb,Embedded
285,carp,fishes,birds,34,all,,Matching,Category,Token,,T5,none,0
286,carp,fishes,birds,35,all,Zoologists knows that,Matching,Category,Token,,T5,know,1
287,carp,fishes,birds,36,all,Zoologists says that,Matching,Category,Token,,T5,say,1
288,cod,fishes,birds,1,some,,Matching,Token,Category,,T1,none,0
289,cod,fishes,birds,2,some,Zoologists knows that,Matching,Token,Category,,T1,know,1
290,cod,fishes,birds,3,some,Zoologists says that,Matching,Token,Category,,T1,say,1
291,cod,fishes,birds,4,some,,Mismatching,Token,Category,,T3,none,0
292,cod,fishes,birds,5,some,Zoologists knows that,Mismatching,Token,Category,,T3,know,1
293,cod,fishes,birds,6,some,Zoologists says that,Mismatching,Token,Category,,T3,say,1
294,cod,fishes,birds,7,some,,Matching,Category,Token,,T2,none,0
295,cod,fishes,birds,8,some,Zoologists knows that,Matching,Category,Token,,T2,know,1
296,cod,fishes,birds,9,some,Zoologists says that,Matching,Category,Token,,T2,say,1
297,cod,fishes,birds,10,all,,Matching,Token,Category,,T4,none,0
298,cod,fishes,birds,11,all,Zoologists knows that,Matching,Token,Category,,T4,know,1
299,cod,fishes,birds,12,all,Zoologists says that,Matching,Token,Category,,T4,say,1
300,cod,fishes,birds,13,all,,Mismatching,Token,Category,,T6,none,0
301,cod,fishes,birds,14,all,Zoologists knows that,Mismatching,Token,Category,,T6,know,1
302,cod,fishes,birds,15,all,Zoologists says that,Mismatching,Token,Category,,T6,say,1
303,cod,fishes,birds,16,all,,Matching,Category,Token,,T5,none,0
304,cod,fishes,birds,17,all,Zoologists knows that,Matching,Category,Token,,T5,know,1
305,cod,fishes,birds,18,all,Zoologists says that,Matching,Category,Token,,T5,say,1
306,cod,fishes,birds,19,some,,Matching,Token,Category,,T1,none,0
307,cod,fishes,birds,20,some,Zoologists knows that,Matching,Token,Category,,T1,know,1
308,cod,fishes,birds,21,some,Zoologists says that,Matching,Token,Category,,T1,say,1
309,cod,fishes,birds,22,some,,Mismatching,Token,Category,,T3,none,0
310,cod,fishes,birds,23,some,Zoologists knows that,Mismatching,Token,Category,,T3,know,1
311,cod,fishes,birds,24,some,Zoologists says that,Mismatching,Token,Category,,T3,say,1
312,cod,fishes,birds,25,some,,Matching,Category,Token,,T2,none,0
313,cod,fishes,birds,26,some,Zoologists knows that,Matching,Category,Token,,T2,know,1
314,cod,fishes,birds,27,some,Zoologists says that,Matching,Category,Token,,T2,say,1
315,cod,fishes,birds,28,all,,Matching,Token,Category,,T4,none,0
